[00:00:00 - 00:08:08]:  Olá! Hoje o Renouetec assume a pasta dos acrônimos.
[00:08:08 - 00:14:48]:  Em homenagem é esta incrível e tão útil, fundamental e linguística.
[00:14:48 - 00:22:40]:  Porque já imaginou que seria sempre que quisesse mudar para a sícate de dizer.
[00:22:40 - 00:28:32]:  Crida, mudar para a sociedade impedente comunicação, só chaveu-o.
[00:28:32 - 00:33:12]:  Ou sempre que recebeça conta da epal, olha crí-do.
[00:33:12 - 00:41:32]:  Já recebemos a conta da empresa de águas livres de Lisboa e este mês, é este boa pagar.
[00:41:32 - 00:44:16]:  Que perda de tempo.
[00:44:16 - 00:48:56]:  É por isso que agora lá em casa só usamos acrônimos.
[00:48:56 - 00:52:24]:  Por exemplo, eu digo que se há minha mulher.
[00:52:24 - 00:57:28]:  Toca e ela sabe logo o que eu quero.
[00:57:28 - 01:03:12]:  Tras uma cerveja amor.
[01:03:12 - 01:11:52]:  Pensava que era o quê? Malandro e com a tecnologia Renouetec é a mesma coisa.
[01:11:52 - 01:22:32]:  Para que viseu electric tecnologia seetec é bem mais fancy.
[01:22:32 - 01:25:04]: etec
[01:25:04 - 01:31:36]:  Já o programa que se segue pode não ter acrônimos na escualidade.
[01:31:36 - 01:35:36]:  Isso tem de sobra.
[01:35:36 - 01:38:56]:  Bom programa.
[01:38:56 - 01:50:56]:  Esta semana, Ricardo Aospreira declara-se bíblico.
[01:50:56 - 02:06:56]:  João Miguel Tavares confessa-se desmuriado e pedre-me-sia considera-se imprescritível.
[02:06:56 - 02:15:36]:  Está reunido o programa que o Juno-Mos estamos legalmente impedidos de dizer.
[02:15:36 - 02:48:24]:  [Música]
[02:48:24 - 02:56:40]:  Ainda a vida sejam bem-vindos no final de uma semana em que o país político discutiu
[02:56:40 - 03:09:12]:  uma ida do Primeiro Ministro Abola e em que o governo chegou atrasado a homenagem às vítimas
[03:09:12 - 03:12:24]:  dos incêndios de pedrogon.
[03:12:24 - 03:22:48]:  Temas de que falaremos mais adiante, mas só depois de tratarmos aquilo que está a acontecer
[03:22:48 - 03:34:48]:  neste momento e de que temos ainda pouca informação, há aparentemente uma revolta na Russia
[03:34:48 - 03:48:48]:  entre forças rusas com o grupo Wagner e o exército regular em aparente com o fronto.
[03:48:48 - 03:58:16]:  Não sabem ainda muito, quer inspecular um bocadinho sobre aquilo que pode acontecer
[03:58:16 - 04:06:24]:  quando há rusos contra rusos aparentemente.
[04:06:24 - 04:18:08]:  Vamos só contextualizar mais um bocadinho que as forças de brigarginas,
