[00:00:00 - 00:12:20]:  Esta semana, Ricardo Raúse Pereira considera-se nomeado João Miguel Tavares de Clara
[00:12:20 - 00:25:20]:  pacífico agressivo e pedram-me-se que a final não está reunido o programa que o
[00:25:20 - 01:03:36]:  nome estamos legalmente impedidos de dizer.
[01:03:36 - 01:11:24]:  Já vivem a Sejam Bem-vindos no final de uma semana marcada na política nacional pelo
[01:11:24 - 01:22:32]:  anúncio do pacote de medidas antemflação que o governo diz "serém de apoio às
[01:22:32 - 01:30:08]:  famílias e a oposição a coisa de serem ilusórias".
[01:30:08 - 01:39:36]:  Avem-nos falar disso daqui a pouco, mas começamos pela morte da reinha de Inglaterra.
[01:39:36 - 01:47:12]:  Dois dias depois de ter dado possam uma nova chefe do governo da Gran Bretagne a Líse
[01:47:12 - 01:57:28]:  de Algarra e a por isso que o pedram-me-se vai ser desta vez ministro infeliz como é que
[01:57:28 - 02:10:48]:  relaciona este dois facto dos pedram-me-se que fosse o último at público da reinha e a morte
[02:10:48 - 02:12:28]:  da Isabel Succo.
[02:12:28 - 02:17:16]:  Não, não tem que eu tenho escolhido este tema antes da reinha, tem morrido não tem
[02:17:16 - 02:20:56]:  nada da que a gente se vê, se ela é um policial.
[02:20:56 - 02:25:04]:  Não, a reinha não aumentou.
[02:25:04 - 02:40:48]:  Se quiserem perceber porque eu acho que o ministro infeliz basta ver a declaração
[02:40:48 - 02:50:08]:  de listras sobre a morte da reinha de declaração de Boris Johnson para perceber porque que eu
[02:50:08 - 02:51:48]:  estou em infeliz.
[02:51:48 - 02:55:08]:  Estou mais de ouvir Boris Johnson.
[02:55:08 - 02:57:48]:  Quer dizer, é um estilista.
[02:57:48 - 03:01:40]:  Acho que Boris Johnson não tinha outro atriz.
[03:01:40 - 03:09:16]:  Não ia para casa depois da leviedade com o que exerceu o cargo, não é isso que está em
[03:09:16 - 03:10:56]:  causa.
[03:10:56 - 03:21:16]:  Naquele partido todo, naquela bancada parlamentar, naquelas ex ministros, não há ninguém que
[03:21:16 - 03:32:52]:  saiba falar, que é uma coisa que os ingleses testam muito nas universidades, nos colubros
[03:32:52 - 03:35:20]:  do bat, etc.
[03:35:20 - 03:41:28]:  E a listras é muito, muito friquinha.
[03:41:28 - 03:49:36]:  Ela pode ser muito competente, pode ser muito, pode produzir a voluntad, vamos ver se
[03:49:36 - 03:51:16]:  isso não.
[03:51:16 - 03:56:48]:  Mas tem um carisma abaixo de zero.
[03:56:48 - 04:10:00]:  Já vão falar de listras no governo britânico mais desenvolvidamente, mas acompanhe aqueles
[04:10:00 - 04:20:00]:  que dizem que mortes de esbelos, segundo tem uma carga simbólica de fim do maera.
[04:20:00 - 04:29:08]:  No sentido de que era reinha, 70 anos, entre 20 anos e por tanto, sim, com a certeza, como
[04:29:08 - 04:38:00]:  foi o fim do maera, a morte do Gorbachev, o Rio de Janeiro no meu artigo 2, que é sobre
[04:38:00 - 04:45:00]:  o Gorbachev, o Rio de Janeiro está a viva, é o que dá a entregar.
