[00:00:00 - 00:07:10]:  Esta semana João Miguel Taváres confessa-se mega hidrocaído.
[00:07:10 - 00:12:56]:  Pedro Muxia, desta vez à distância, no suídio do Porto,
[00:12:56 - 00:20:58]:  claro, é frasquinho e Ricardo Raul's Pereira sente-se beijo.
[00:20:58 - 00:25:58]:  Está reunido o Governo Sombra.
[00:25:58 - 00:55:58]:  [Música]
[00:55:58 - 00:59:18]:  Aravenha, vocês vão bem-vindos.
[00:59:18 - 01:04:18]:  No final da semana em que se sobe que o presidente da Câmara do Porto
[01:04:18 - 01:10:58]:  vai ser julgado sobre a aquisação de terfavorcida da família
[01:10:58 - 01:20:58]:  e prejudicado o município, uma aquisação que remoreira refuta de forma categórica
[01:20:58 - 01:27:38]:  e que leva ao Ricardo Raul's Pereira a querer ser desta vez ministro da banana.
[01:27:38 - 01:30:58]:  -Demana? -Exatamente, Carlos.
[01:30:58 - 01:34:18]:  E esta semana quero te otilar esta fruta.
[01:34:18 - 01:39:18]:  Pronto, ministro da banana.
[01:39:18 - 01:45:58]:  Eu sou um ser humano. Nós somos de granito.
[01:45:58 - 01:50:58]:  Mas não somos propriamente insensíveis. Eu não sou uma banana.
[01:50:58 - 02:02:38]:  -Romoreiram ser humano de granito que não é uma banana. De que modo aqui esta autorretrato
[02:02:38 - 02:10:58]:  que o presidente da Câmara do Porto Ricardo Raul's Pereira influencia o modo como
[02:10:58 - 02:17:38]:  olha presta decisão judicial conhecida nos últimos dias.
[02:17:38 - 02:22:38]:  -Eu acho que é uma estratégia promada a ser tada, quer dizer,
[02:22:38 - 02:30:58]:  quando ele diz eu não sou uma banana, nós dizemos em principios homens tados, era verdade.
[02:30:58 - 02:40:58]:  Porque ele não parece uma banana, parece o Robi Real's da série "Vila Muleza",
[02:40:58 - 02:45:58]:  como já tenho a oportunidade de se alimentar de suelinhar.
[02:45:58 - 02:52:38]:  -Mas, lembra disso, acho que eu não ser talvez este filho.
[02:52:38 - 02:59:18]:  -E as filhas viam a "Vila Muleza" e o Robi Realza é igual ao rumoreira.
[02:59:18 - 03:04:18]:  Agora, isto dizer que é de granito.
[03:04:18 - 03:09:18]:  Pode parecer uma maneira sugesticada dizer, "Pai, eu sou um calhau".
[03:09:18 - 03:17:38]:  Como quem diz, realmente ele já admitiu, fui em caldo, fui em caldo
[03:17:38 - 03:24:18]:  e realmente havia aqui um claríssimo caso de conflito de interesse.
[03:24:18 - 03:30:58]:  Era impossível não perceber que havia um claríssimo caso de conflito de interesse.
[03:30:58 - 03:42:38]:  E o rumoreira todas as declarações, eu ia dizer, eles feçam explicações,
[03:42:38 - 03:52:38]:  mas na verdade não, eles feçam evasivas, justificações absurdas, etc.
[03:52:38 - 03:57:38]:  Em relação a essencial, que é, eu vou citar o título do público,
[03:57:38 - 04:04:18]:  juíza diz que provas não deixam dúvidas de que o rumoreira com o teu crime.
[04:04:18 - 04:14:18]:  E a relação a esse ponto do processo, o rumoreira nunca disse nada, e ele diz sempre,
[04:14:18 - 04:19:18]:  "Pô, a minha família já até ficou sem os terrenos".
[04:19:18 - 04:25:58]:  Mas o que está em caso não é isso, o que está em caso é que havia um esturial de litigio,
[04:25:58 - 04:39:18]:  entrar ao terqueio e a céu minho, e almata de 2014, em que ao terqueio já com o rumoreira,
[04:39:18 - 04:45:58]:  ao terqueio assume o compromisso de na próxima revisão do PDM,
[04:45:58 - 04:55:58]:  adotar uma redação que, com o tempo, a pretensão da céu minho de construir entre determinados terrenos.
[04:55:58 - 05:02:38]:  E, portanto, a autarquia sempre tinha dito que não era possível construir,
[05:02:38 - 05:05:58]:  os tribunais sempre deram razão autarquia.
[05:05:58 - 05:12:38]:  E nisto, o rumoreira passa a ser presidente da Câmara do Porto,
[05:12:38 - 05:19:18]:  e há esta ata que, evidente que isto não se concretizou,
[05:19:18 - 05:22:38]:  mas ou certo, é que esta ata existe.
[05:22:38 - 05:32:38]:  E é por isso que a juíza de instrução do processo diz que é só lidamente previsível
[05:32:38 - 05:37:38]:  que o rumoreira vai nha ser condonado.
[05:37:38 - 05:45:58]:  Poderá dizer-se, peda-me, que esta frase torna o caso politicamente ainda mais complicado
[05:45:58 - 05:49:18]:  pro presidente da Câmara do Porto?
[05:49:18 - 05:54:18]:  Não, esta frase torna o caso jurídicamente mais complicado,
[05:54:18 - 06:05:58]:  porque, pelo visto, está aberta a moda de que a instrução é o julgamento.
[06:05:58 - 06:15:58]:  Eu acho que o que a juíza pode dizer, e tem certamente razões para o dizer,
[06:15:58 - 06:27:38]:  é que há indícios e oficientes para elir o julgamento, etc., etc.,
