[00:00:00 - 00:06:56]:  Já que estamos a falar de um grande escritor está na altura dos livros.
[00:06:56 - 00:15:20]:  Os livros da Sumanata e o Patrocínio, rino é tech.
[00:15:20 - 00:26:16]:  Eu trago esta semana um pequeno livro muito apropriado.
[00:26:16 - 00:34:20]:  Esta época do ano agora que chegou a período das férias para a maior parte das pessoas.
[00:34:20 - 00:41:44]:  O próprio Parlamento foi de férias esta semana, como já comentamos.
[00:41:44 - 00:49:00]:  E o livro que trago é uma história de reposo.
[00:49:00 - 00:58:20]:  Desengando em ser que eles pensam que a ideia de reposo se manter a final terá de longo dos tempos,
[00:58:20 - 01:02:40]:  mudou e mudou muito o exturidor.
[01:02:40 - 01:14:24]:  Alainco Orban, traça neste livro a evolução que o conceito reposo sofreu ao longo da história
[01:14:24 - 01:25:20]:  desde que Deus, de acordo com a narrativa pública, reposo ao 7º dia.
[01:25:20 - 01:33:28]:  A antiguidade de remetia o reposo para a vida eterna, para o reposo eterno.
[01:33:28 - 01:43:32]:  Mas, proversivamente, no final foi ganhando terreno, aponte de se tornar um assunto político.
[01:43:32 - 01:51:28]:  A partir de 1000 anos, o século 19 foi na salta que surgiu a exigência de férias pagas.
[01:51:28 - 02:01:00]:  E, alainco Orban chama ao período que vai de 1000 anos, do século 19, de 20 anos.
[02:01:00 - 02:13:20]:  O século do reposo, de um milhado-meente, com a criação dos sanatórios e com a invenção do reposo terapêutico.
[02:13:20 - 02:31:36]:  O último é que o autor deste livro, no mundo terbidante, em que vivemos o laser, veio substituir o reposo.
[02:31:36 - 02:36:36]:  Ou seja, deixámos de saber estar quietos.
[02:36:36 - 02:45:20]:  É muito interessante esta história, do reposo de Alainco Orban, edição Quetzal.
[02:45:20 - 02:52:00]:  O João Milho está a vars também traz a história, mas da alimentação.
[02:52:00 - 02:57:20]:  Exato, chama-se História Global da Alimentação Portuguesa.
[02:57:20 - 03:05:16]:  É mais um projeto agente pelo jeito do Arte de Frente, neste caso com a coronação da Isabel da Gumaum-Baraga.
[03:05:16 - 03:16:56]:  E são sempre uma entrada sobre relacionadas com a mesa, tanto com comida, com vida.
[03:16:56 - 03:21:28]:  E, no facto, passamos boa parte da nossa vida, a fazer isto.
[03:21:28 - 03:32:36]:  Mas, muitas vezes, não reflectimos sobre a história da comida e como é que as coisas chegaram a nossa mesa.
[03:32:36 - 03:42:48]:  E, portanto, é muito interessante, tem muitas entradas sobre os nossos hábitos alimentais.
[03:42:48 - 03:57:48]:  Desde o século 12, até ao presente, é o século 21, aprendo-se coisas como qual foi a primeira receita portuguesa de que arregisto.
[03:57:48 - 04:06:40]:  Descubri que é o manjá branco, no século XIV, que é uma das minhas chubras mesas favoritas.
[04:06:40 - 04:10:44]:  Não percam mergão, assim, a minha minha faz isso muito também.
[04:10:44 - 04:14:28]:  E...
[04:14:28 - 04:21:28]:  - Asetamos o convite. - Sim, muito bem. Olha, três, já sou.
[04:21:28 - 04:30:08]:  E também é entrada sobre sal, mel, queijo, açúcar, chocolate, café,ça que vai já caça.
[04:30:08 - 04:36:20]:  E é realmente muito interessante, é uma boa letra que você fez.
[04:36:20 - 04:46:56]:  O Pedro Messia traz um autor de esquerda, acho que é ver se sobre a direita.
[04:46:56 - 04:53:04]:  Sim, na verdade este livro tem um teledingerador, porque esse é uma escultura direita.
[04:53:04 - 05:00:24]:  Não sou o autor da direita, não é? É muito aliado, como eu eu aliás, jovem, chamado Furio Jesse.
[05:00:24 - 05:15:28]:  É um livro de 79. E na verdade, essa é a cultura de extrema direita, sobre todos os autores relacionários, o évo, o aliávei, certo, a medida, etc.
[05:15:28 - 05:26:08]:  E é um alguém que, considero os mitos e das mitos dias, que eles distinguem as duas coisas,
[05:26:08 - 05:36:20]:  vai estudar essa direita, que ele já está em ressurgimento agora, em vários países,
[05:36:20 - 05:46:56]:  no seu, em quatro ou cinco turistas, que elas são muito úteis até para compreender as reízes filosóficas dessa direita,
[05:46:56 - 05:56:36]:  o culto monóritico do passado, o culto dos mortos, o que eles chamam os valores com manhiosculas.
[05:56:36 - 06:13:56]:  Lembora, como ele diz, muitas dessas coisas passaram para a cultura e não são apenas direita, diria que liberdade, igualdade e fraternidade, em meio osculas bastante pronunciadas.
[06:13:56 - 06:22:12]:  O Ricardo Espereira, que veio da estrange, traz um livro em estrangeiro.
[06:22:12 - 06:25:48]:  E foi engindo as regras.
[06:25:48 - 06:39:32]:  Mas se chama o meldamente. Se chama o Métive nos Trangéiros, trouxe um estranjeiro, que se chama Lefty's not woke, ou seja, a esquerda não é woke.
[06:39:32 - 06:54:20]:  Dessuzando naima que é uma filósofa americana que vivem, e professora da doutora ali a esquerda que vivem na humana.
[06:54:20 - 07:04:36]:  É mais sim a isso, é mais uma pessoa de esquerda que está meio exesperada com isto.
[07:04:36 - 07:14:20]:  Somos poucos mais bons. Aliás, ela diz que tem vários amigos que dizem "lá, tomas a esquerda isto, será que eu já não sou de esquerda?"
[07:14:20 - 07:21:40]:  E ela tranquilizou-se, com a razão de dizer "Não, calma, ele vai mudar, não for isto".
[07:21:40 - 07:33:48]:  E, por centela, diz que há valores da esquerda que não são os valores o woke, antes pelo contrário.
[07:33:48 - 07:41:16]:  A ideia de universalismo em vez de tribalismo, tem um valor central da esquerda.
[07:41:16 - 07:49:16]:  A gente tem falado de várias estas coisas aqui. Talvez ela tem uma vida, algo.
[07:49:16 - 08:00:20]:  Fazer uma distinção forte entre justiça e poder, também há uma valor da esquerda, não há um valor o woke, antes pelo contrário.
