[00:00:00 - 00:11:10]:  Esta semana, Ricardo Raúes Pereira confessa-se, Javardo. João Miguel Tavarge, de Clara,
[00:11:10 - 00:26:20]:  se superficialmente negro e pedramuchia, sente-se a Laputa Nésica. Está reunido o programa
[00:26:20 - 01:00:30]:  com os nomes, estamos legalmente impedidos de dizer.
[01:00:30 - 01:09:30]:  Aravi, vocês vão bem-vindos no final de uma semana em que se confirmou a vitória da direita
[01:09:30 - 01:20:56]:  radical em Itália, a sonde que falaremos mais adiante, uma semana também em que Putin declarou
[01:20:56 - 01:32:52]:  a anexação das províncias o cranianas, onde houve aquela espécie de referenda, daqui
[01:32:52 - 01:40:12]:  a pouco, talvez também passemos por aí, mas antes o Ricardo Raúes Pereira quer ser ministro
[01:40:12 - 01:48:00]:  da ATA e fica lá tudo, ou é preciso resurar alguma coisa.
[01:48:00 - 02:02:04]:  O resurar parece que é preciso resurar carlos. Eu acho que nós vamos ver em imagens para explicar
[02:02:04 - 02:06:20]:  a espectadores e ouvintes aquilo que estamos a falar.
[02:06:20 - 02:16:52]:  O assunto em causa obrigou o PS no Parlamento a apresentar caso em vulgar um pedido público
[02:16:52 - 02:24:44]:  de desculpas, depois de intervenção de uma deputada socialista que queria apagar da
[02:24:44 - 02:34:40]:  ATA aquilo que tinha acabado de ser dito por um outro deputado.
[02:34:40 - 02:47:52]:  Não posso vir para aqui, eu, portada, vir a lugar de factos que não tem a ver com o que está
[02:47:52 - 02:57:00]:  no ordem de trabalho. Não posso estar impedida, não posso estar aqui falar sobre o que
[02:57:00 - 03:02:28]:  é feio e o chá, podemos ter tomado ontem a ATA.
[03:02:28 - 03:12:28]:  E que também não posso ir para aqui falar sobre o conselto que fui ver no Esteverão, porque
[03:12:28 - 03:15:00]:  não está no ordem de trabalho.
[03:15:00 - 03:26:40]:  E por esse facto acho que deve ser retirada a gravação e deve ser retirada essa parte
[03:26:40 - 03:31:40]:  de ATA, não pode ficar a constar.
[03:31:40 - 03:42:00]:  A deputada socialista Isabel Guerreiro, a querer resurar a intervenção de um deputado
[03:42:00 - 03:50:52]:  de iniciativa liberal, porque ligadamente não estava de acordo com ordem de trabalhos
[03:50:52 - 03:58:20]:  que futuro político devatecina para esta parlamentar socialista, Ricardo A.
[03:58:20 - 04:09:24]:  Sim, sinceramente, antecipo um futuro político, porque qualquer pessoa que hoje em
[04:09:24 - 04:25:44]:  dia tenha como primeiro impulso, cortar, apagar, paga, tira, está de facto casada com o
[04:25:44 - 04:27:24]:  ar do tempo.
[04:27:24 - 04:36:40]:  E portanto é uma pessoa que, o primeiro impulso dela é este incomoda, corta, tira, até o
[04:36:40 - 04:39:40]:  tira, por enquanto é no raro.
[04:39:40 - 04:53:24]:  Exatamente, mas é ao mínimo de protege, ao mínimo de protege, ao mínimo de protege, isso
[04:53:24 - 04:58:36]:  não é altura própria, o senhor até pedir a ter a editismo, mas não foi com as palavras
[04:58:36 - 05:05:56]:  certas, o senhor é comparação entre, é que aparente são.
[05:05:56 - 05:17:56]:  Não há dúvida de que aquilo tem regras, há um regimento e ela até pedir a ter dito que
[05:17:56 - 05:32:40]:  ela é que estão levantada pelo detalhem de íbomo moral.
[05:32:40 - 05:43:28]:  E agora o impulso para apagar, tira, corta, isso é outra coisa.
[05:43:28 - 05:57:40]:  E comparação com o cheio, café, com o ser, de facto, eu acho, não sei se é para mim,
[05:57:40 - 06:04:28]:  há uma distância entre uma pessoa ir para uma comissão de inquéria e dizer assim, o
[06:04:28 - 06:13:40]:  tônica reira entre para o tom mesmo vem o tema sonhos de meninos.
[06:13:40 - 06:20:40]:  Isso já é a informação ou do Ricardo, não sei, foi o concerto que ele está a ver, não
[06:20:40 - 06:30:20]:  sei se foi isso, mas por isso eu estou muito popular, pode ser, pode ser, pode ser, neste programa
