[00:00:00 - 00:08:20]:  Os livros da semana são patrocinados por Cupralenho e Bredo Pleguen.
[00:08:20 - 00:23:20]:  Assim chegamos aos livros. Eu trago esta semana um livro publicado originalmente a mais de duas décadas.
[00:23:20 - 00:35:00]:  Agora a Rio de Itaada é um ensaio que nos faz perceber como no essencial aquilo que está em causa no medi-oriento.
[00:35:00 - 00:46:40]:  Uma tragédia humanitária e uma catástrofe gel política tem reízes complexas e profundas.
[00:46:40 - 00:53:20]:  É um problema que resiste a todo tipo de simplificações e desloganos.
[00:53:20 - 01:08:20]:  O livro chama-se o "Mede Oriente" e o "Ocidente" tem como subtítelo uma pergunta que é aliada a primeira frase do próprio livro "O Que Correu Mau".
[01:08:20 - 01:20:00]:  O autor Bernardo Luís, ajudou inglês morreu em 2018, mas durante 70 anos estudou a história daquela região do mundo.
[01:20:00 - 01:35:00]:  Bernardo Luís tinha um tronho furraro para esse estudo, que era o facto de dominar as três grandes línguas da região, o árabe, o persa e o turco.
[01:35:00 - 01:55:00]:  As análises de Bernardo Luís estão longe de ser consenso-uais, como explica aliás bem no perfácio Bruno Cardozo Reis, mas são sempre extraordinariamente bem documentadas.
[01:55:00 - 02:15:00]:  Este livro tem além disso uma história curiosa foi publicada imediatamente após o ano de setembre, agora, tenha sido escrito imediatamente antes, em certo sentido.
[02:15:00 - 02:51:40]:  Um livro que pronunciou o que estava para acontecer, uma ira à aberta da expulsão, escreve o autor logo de início, o livro foi por isso um grande sucesso mundial na altura de Bernardo Luís, dizia ironicamente que seria inteiramente justo que binladam-lhe exigíssima parte dos direitos da autor que ela recebeu pela publicação.
[02:51:40 - 03:06:40]:  Um medi-orientio ocidente de Bernardo Luís e dição gradiva. Os João Miguel Tavar sugera um livro de um deputado do chega.
[03:06:40 - 03:25:00]:  Exatamente, Gabriel Meitar-Ribar, lançou já algum tempeste de livro chamado "Dos Régres" para um Portugal mais justo, e ele veio que achasse para o psicodor que teve que fazer uma edição de autor porque em um meditório que pegava.
[03:25:00 - 03:45:00]:  E eu aqui estou ao lado de Gabriel Meitar-Ribar porque é verdade que ele já é editão no oficina do livro, na gradiva na conta da ponta e agora que tem um palco maior que é editão um livro político que diz "nã, escala não".
[03:45:00 - 03:53:20]:  E porque que eu acho que isto é importante? É importante, e dizem-se que é, não, com todo o direito.
[03:53:20 - 04:05:00]:  Porque os editoras sempre se peditam que eles... Não, com certeza, mas isto não está a fora de questão o direito que os editoras têm.
[04:05:00 - 04:25:00]:  E porque que eu acho que é muito importante este livro? Este livro é passar completo pelos meus jornalistas e pêntagos vistarem e Meitar-Ribar, todas as vezes que o puderem, pêndeles explicar melhor algumas coisas que estão.
[04:25:00 - 04:30:00]:  E essa é a vantagem lá está das ideias circularem.
[04:30:00 - 04:50:00]:  E eu concordo com muitos dos diagnósticos dos senhores Meitar-Ribar, até concordo com o diagnóstico de exerlação ao chega, porque ele diz que não deixam o chega autótipo-níquice, impõe-lhe uma identidade.
[04:50:00 - 05:11:40]:  Concordo com tudo isso. Qual é o problema deste livro? É que Meitar-Ribar está sempre saltar de este senhores chamos meus adversários políticos para este senhores ter uma doença que tem que ser combatida.
[05:11:40 - 05:28:20]:  E então, ele está constantemente a falar em parasitismo, violação mental, ditadura mental, guerra psicológica, alienação para a noya e infecção psíquica.
[05:28:20 - 05:55:00]:  Olha, é este salto em que tu deixes de ver o outro como eu te corti para tués alguém que está doento ou que estáis de tentar atacar o meu bem-estar psicológico, que as coisas se tornam realmente porque tu cupadoras.
[05:55:00 - 06:05:00]:  Portanto, espero que leiam, compram e fomfasem perguntas a que aí vai ganhar Meitar-Ribar.
[06:05:00 - 06:25:00]:  Mas aqui, em fezo de Gabriel Meitar-Ribar, é uma pondração que tem que ser feito aqui, isso realmente são ideias, mas quando são ditas com aquela voz de um tudo é mais engraçado, e acaba por si...
[06:25:00 - 06:31:40]:  Depois eu te vacioso que dancioso da mudança da voz do Miguel.
[06:31:40 - 06:35:00]:  Mas ali são algumas coisas sobre este programa também.
[06:35:00 - 06:43:20]:  Está disse-se um que é o mal-nós, mas com com com comentários deste de Ricardo e os pés.
[06:43:20 - 06:53:20]:  O pés-me-sia traz enseios de um mestre e inédites em livro.
[06:53:20 - 07:03:20]:  Sim, chama-se crítica do livro, são enseios que o "A Scarlobs" publicou no comércio do Porto entre os anos de 1970.
[07:03:20 - 07:05:00]:  São literários.
[07:05:00 - 07:15:00]:  São os enseios que não tinham sido recolhidos ainda em livro.
[07:15:00 - 07:33:20]:  E é muito curioso porque nós tendemos a achar que os "A Scarlobs" como era um comunista ortodoxo, também era por inerência um crítico ortodoxo.
[07:33:20 - 07:40:00]:  Ou seja, que defendia só o neolismo, ou os autostes esquerda, ou com o idade esquerda.
[07:40:00 - 07:58:20]:  E nós vemos nesta coleténea como eu compatibilizava a sua ortodoxia política, com a sua liberdade crítica, e com pessoas que não foram na parte da sua vida,
[07:58:20 - 08:11:40]:  na inscrivenda sobre isso, marxistas, como os arrejo, herandoles bovres, ilufreira, o Herbert Weller, a Cristina Bessa, Luís, ou Eduardo Lorenzo.
[08:11:40 - 08:26:40]:  Pessoas, há alguns foram marxistas e deixaram de ser, mas, depois, têm visões do mundo que não tem nada a ver com, e é fascinante perceber como é que há alguém no momento onde isso,
[08:26:40 - 08:38:20]:  ele era certamente censurado, consegue fazer a distinção e entrar à análise séria de autores com visões do mundo diferentes,
[08:38:20 - 08:45:00]:  mantendo-se, num tanto um comunista, fiel como foi até o fim da vida.
[08:45:00 - 08:48:20]:  O Ricardo Raújo Pereira vem, com a Amuniano.
[08:48:20 - 08:55:00]:  Pois bem, no outro dia nós falamos aqui sobre o problema das comorações do...
[08:55:00 - 09:10:00]:  É que são 500 anos, não é bem uma, são 500 anos de camões, falamos dos avances e reculos do facto da comissão para as comorações ter estados que é cidadora entre dois anos,
[09:10:00 - 09:25:00]:  e depois, ao último notícia era... Não, agora é que foi criado uma comissão, e no dia 20 de maio, a comissão tem de apresentar ao governo o programa.
[09:25:00 - 09:27:30]:  Hoje é dia 24, eu espero que tenha
[09:27:30 - 09:50:50]:  sido apresentado, embora não tenha vivido nenhuma notícia nesse sentido, mas este livro que chama camões é uma antologia de textos do camões feita pela professora Frederic Lawrence,
[09:50:50 - 10:07:30]:  e ainda por cima, profundamente anotado, e, portanto, é realmente a prova de que a sociedade civil...
[10:07:30 - 10:10:50]:  É que o que chama um "companenin".
[10:10:50 - 10:30:50]:  É um "companenin", exatamente, e a sociedade civil... A sociedade civil, ao Estado, pelos vídeos de Estado, burri fã, faz com morações, mas a sociedade civil, né, por meio do professor Frederic Lawrence...
[10:30:50 - 10:34:10]:  Eu me estasse cada lápis do Ricardo.
[10:34:10 - 10:40:50]:  E fica aqui, fica aqui, por bordo, fica aqui, com um contribu.
[10:40:50 - 10:50:50]:  Camões, um antologia de você, Frederic Lawrence, e, em São Quetzal, assim, se concluiu mais uma reunião humana,
[10:50:50 - 11:05:50]:  dois, oito dias, a mesma hora, e sempre em podcasts, a qualquer hora, os mesmos de sempre pedrem de dia, João Miguel Tavares e Ricardo Roussevereira.
[11:05:50 - 11:54:10]:  [Música]
