[00:00:00 - 00:15:50]:  Este podcast, signotícias, é só um de muitos que pode ouvir no site da Signotícias
[00:15:50 - 00:27:06]:  ou na sua plataforma preferida, os melhores programas da televisão, a opinião que importa
[00:27:06 - 00:40:38]:  e ainda entrevistas exclusivas em podcasts originais, onde e quando quiser, leve no bolso
[00:40:38 - 00:53:16]:  todas as conversas. Fique a parte das últimas navidades em Signotícias.pt/podcastes e nas
[00:53:16 - 01:00:46]:  nossas redes sociais.
[01:00:46 - 01:24:02]:  São já consideradas as ilestões mais relevantes dos últimos anos e que podem ter mais consequências
[01:24:02 - 01:32:22]:  nas geopolíticas mundial, por isso, aqui na Signotícias, abrimos o passo todos os sábados
[01:32:22 - 01:42:02]:  a esta hora para análise, documentário, para explicações e sempre com o germano almeida
[01:42:02 - 01:53:46]:  que está aqui conosco, botar de almeida. Vamos fazer aqui neste reenque da Tugorobrica,
[01:53:46 - 02:00:52]:  vamos fazer aqui uma espécie de balanço do que foi esta convenção de democrata, em
[02:00:52 - 02:08:20]:  que Kamala Harris se apresentou oficialmente como candidata, entrou a oco pé direito.
[02:08:20 - 02:18:04]:  Foi uma semana em que quase tudo que rouba a Miguel aos democratas e a Kamala Harris foi
[02:18:04 - 02:28:40]:  uma semana de união para o partido democrata, quem diria há cerca do mês quando Joe Biden
[02:28:40 - 02:38:08]:  assistiu que isso pede a acontecer, havia o risco de que os democratas não terem uma união
[02:38:08 - 02:44:56]:  e não terem sequer nesta altura de um candidato definido, nada disso aconteceu, ou
[02:44:56 - 02:52:42]:  uma união em torno de Kamala Harris como candidata que pode evitar o regresso do Donald Trump
[02:52:42 - 03:00:40]:  e o impicialmente o que vimos em Miguel foi, emadamente, depois de vários discursos inspiradores
[03:00:40 - 03:08:56]:  e mobilizadores como Michel Obama, Barack Obama, Bill Clinton, do próprio T.C. Walls, da
[03:08:56 - 03:13:26]:  própria O, para que fez um belo discurso, uma surpresa.
[03:13:26 - 03:21:12]:  A verdade é que no fim Kamala Harris apresentou-se aos americanos como aqui está, porque
[03:21:12 - 03:29:06]:  embora ela seja viste por 1 a 4 anos, nem se descendoura nos anteriores, a verdade é que
[03:29:06 - 03:37:38]:  a grande america ainda não acontecia verdadeiramente. E ela deu sequer conhecer e na minha opinião
[03:37:38 - 03:46:48]:  confirmou no geral o que já pensava dela, ou seja, é alguém que se prepara bem, bem preparada,
[03:46:48 - 03:56:42]:  bem formada, rigorosa, competente na entrega da mensagem, mas não tenho o brilho retórico
[03:56:42 - 04:06:50]:  de Barack Obama ou de Michel Obama. Tenta compensar com essa competência a falta de capacidade
[04:06:50 - 04:15:00]:  de rebatar a multidão. Feja a minha opinião, um bom discurso, bem construído dentro do
[04:15:00 - 04:22:54]:  argumentário que tinha feito até aqui, mas às vezes, Miguel, às vezes, há surpresas
[04:22:54 - 04:29:18]:  e revelações de que, a pouco, vamos ter aqui o privilege de ter um grande convidado
[04:29:18 - 04:39:38]:  que nos vai explicar que na vida del profesional aprendeu que, por vezes, mal segundos comandantes
[04:39:38 - 04:44:34]:  podem ser grandes primeiros comandantes. É uma conversa para daqui a pouco.
[04:44:34 - 04:53:14]:  Sim, sim, dúvida. E já percebemos também nesta convenção, qual é a estratégia, e é que
[04:53:14 - 05:03:34]:  digamos que ponderar entre aquilo que foi o passado e o que é o futuro e a dinâmica do
