[00:00:00 - 00:06:08]:  Os livros da Semana, Tanguy, Patrocínio, Renou etec.
[00:07:44 - 00:12:28]:  Bom, está na altura dos livros e esta Semana o Trago,
[00:12:28 - 00:17:48]:  uma obra prima da litratura latina-americana,
[00:17:48 - 00:22:48]:  ainda antes do chamado Búmida, fama mundial do Riliz Marge,
[00:22:48 - 00:27:48]:  que legarcia Marques, os criatórios mexicanos, Ruan Rufo,
[00:27:48 - 00:33:48]:  publicou dois livros nos anos 50 do século passado
[00:33:48 - 00:39:48]:  e com apenas dois livros tornou-se um nome central
[00:39:48 - 00:47:48]:  da litratura em língua Espanhola, primeiro com o livro de contos em 1953
[00:47:48 - 00:54:28]:  e dois anos mais tarde em 55 com este Pedro Paramo.
[00:54:28 - 00:59:28]:  É um rumo a se breve, rir e está agora com um prefácio,
[00:59:28 - 01:04:28]:  precisamente que arcia Marques num belo tributo,
[01:04:28 - 01:11:08]:  um livro sobre uma cidade fantasma, a história extraordinária,
[01:11:08 - 01:16:08]:  mas acima de tudo o que faz deste rumo a sua obra prima
[01:16:08 - 01:24:28]:  é o modo como Ruan Rufo numa linguagem seca sem qualquer tipo de excesso,
[01:24:28 - 01:29:28]:  mas que uma vai construindo uma narrativa em que é pouco e pouco
[01:29:28 - 01:37:48]:  com avance e recursos se desvenda quem é Pedro Paramo,
[01:37:48 - 01:46:08]:  o nome do título e a história de violência que matou aquela cidade.
[01:46:08 - 01:51:08]:  Nossa senhora disse que este livro é uma obra prima,
[01:51:08 - 01:57:48]:  Pedro Paramo de Ruan Rufo edição Cavalto Ferro,
[01:57:48 - 02:07:48]:  o Pedro Mexia traz esta semana sorpreendentemente um livro de bonecos.
[02:07:48 - 02:14:28]:  - Oh, nada, não. - Banda desenhada.
[02:14:28 - 02:17:48]:  - Não, não, é uma novela gráfica.
[02:17:48 - 02:22:48]:  - Ah, vamos ao lado do Banda desenhada. - Perceira de chamada.
[02:22:48 - 02:27:48]:  - Do Francisco José Lóbo, que chama Cartas Iglesias,
[02:27:48 - 02:37:48]:  o Tula Chilicão Carney, é um livro que o estítulo tem a ver com o facto de ser
[02:37:48 - 02:46:08]:  ter sido um livro ter sido escrito e ter sido desenhada entre Londres,
[02:46:08 - 02:56:08]:  onde o Francisco José Lóbo vive e tormos ao abrigo de uma bolsa de fundação.
[02:56:08 - 03:01:08]:  Essa é o exemplo de fundação.
[03:01:08 - 03:04:28]:  - Isso aqui. - Isso aqui. - Isso aqui.
[03:04:28 - 03:11:08]:  - O abrigo de uma bolsa de fundação. - O que é isso?
[03:11:08 - 03:14:28]:  - Isso aqui. - Isso aqui.
[03:14:28 - 03:17:48]:  - Isso aqui. - Isso aqui.
[03:17:48 - 03:24:28]:  - É um livro mais uma vez, um livro autobiográfico,
[03:24:28 - 03:36:08]:  onde há uma grande presença da bucatolicismo, complica, digamos,
