[00:00:00 - 00:14:02]:  Esta semana a pedramxia traz uma ordem meta João Miguel Taváres declara-se azul e Ricardo
[00:14:02 - 00:23:42]:  Urospreira sente-se um canhão. Está reunido o programa que o
[00:23:42 - 00:59:26]:  estamos legalmente impedidos de dizer.
[00:59:26 - 01:10:02]:  Antes de o seu podcast favorito começar, um ano importante. A partir de hoje, este programa
[01:10:02 - 01:18:42]:  conta com um novo membro que o Junomos estamos perfeitamente à vontade de dizer. Renou
[01:18:42 - 01:28:34]:  Etec. Sim, Renou Etec. E programa que o Junomos estamos legalmente impedidos de dizer,
[01:28:34 - 01:39:14]:  a partida não tem muito a ver, mas repare. Este podcast é um dos cinco podcasts mais ouvidos
[01:39:14 - 01:48:18]:  por tu eassos. E um em cada cinco veículos elétricos vendidos na Europa é um Renou.
[01:48:18 - 01:59:58]:  Está a ver a relação? Um pouco rebuscado. Não. Aci encendo esta semana o Renou Etec
[01:59:58 - 02:10:16]:  assuma pasta da inovação. Em referência à exclusiva tecnologia Etec, nas cidadas na
[02:10:16 - 02:17:48]:  Forma I, presenta em todos os veículos e bairros elétricos Renou.
[02:17:48 - 02:27:48]:  Nos próximos episódios Renou Etec assumirá diferentes pastas, mas isso fica para depois.
[02:27:48 - 02:29:28]:  Bom programa.
[02:29:28 - 02:41:24]:  Agora, viva, sejam bem-vindos. No final de uma semana em que os casos que têm estado
[02:41:24 - 02:52:24]:  a balar a meio e a absoluta estiveram escrutinho no Parlamento e em que surgiram novas complicações
[02:52:24 - 02:59:28]:  em torno de dois governantes, complicações relativas ao tempo em que foram autarcas,
[02:59:28 - 03:07:40]:  o secretário de estado de Paul Caffof e o ministro Fernando Bandina. Avem-me de falar
[03:07:40 - 03:16:12]:  disso mais adiante, mas começamos pelos dias turbulentes no mundo da educação com o Ricardo
[03:16:12 - 03:26:12]:  de Estado da Resultável.
[03:26:12 - 03:33:08]:  Para me encarles, que critéries a que a gente usa para saber se uma greva está a dar
[03:33:08 - 03:44:48]:  resultado. Pode ser do ex-1, as revinicações atendidas, mas o outro também pode ser, se
[03:44:48 - 03:54:32]:  ao menos as revinicações estão a ser ouvidas. Isso em princípio está a funcionar.
[03:54:32 - 04:09:32]:  O que já funcionou? Esta semana, eu escolhi este tema para escrever na pós-preço.
