[00:00:00 - 00:12:00]:  Esta semana, Ricardo Araú, espereira, declara-se pobre. João Miguel Taváres sente-se perdido
[00:12:00 - 00:26:32]:  no sistema e pedra-me-se com feças evanescente. Está reunido o programa, cujo nome estamos
[00:26:32 - 00:29:52]:  legalmente impedidos de dizer.
[00:29:52 - 00:56:32]:  [Música]
[00:56:32 - 01:08:12]:  Os pressos faz 50 anos. Se lembre conosco e torne assassinantes em expresso ponto PT.
[01:08:12 - 01:24:52]:  [Música]
[01:24:52 - 01:36:32]:  Em que o Qatar não foi notícia apenas por causa do Mundial de Futebol, mas também por ter ligadamente
[01:36:32 - 01:48:12]:  comprado serviços ao mais alto nível no União Europeia e em que ela não mas deixou de ser
[01:48:12 - 01:56:32]:  o homem mais rico do mundo. Mas em Portugal, o que se discute é o apoio extraordinário
[01:56:32 - 02:04:52]:  de cidere de bloguverno para ajudar um milhão de famílios e escarenciadas com o subsídio
[02:04:52 - 02:14:52]:  de 250 euros. E é isso que leva ao Ricardo Araú, espereira, a querer ser ministro dos direitos
[02:14:52 - 02:21:32]:  da autor. Não me diga Ricardo, que há dúvidas sobre a autoria da medida.
[02:21:32 - 02:28:12]:  Preso que sim, Ricardo, é o homem fazer a oposição. É a enorme de quando a gente discorda das
[02:28:12 - 02:34:52]:  meninas do governo e está na oposição, diz "estâme de eu doverno, não faz um sentido"
[02:34:52 - 02:39:52]:  quando a gente concorda, diz "tá bem, esta faixa sentido mas aí daí foi minha".
[02:39:52 - 02:49:52]:  O apoio extraordinário do governo aos mais caranciados teve uma espécie de aplauso
[02:49:52 - 03:03:12]:  do cidere do PSD. Quando o Dr. António Costa se inspira nas ideias do PSD e ele faz algumas
[03:03:12 - 03:06:32]:  coisas bem feitas.
[03:06:32 - 03:16:32]:  O Lisbon Tenegros reclamar para si o mérito da decisão do governo embora no resto da oposição
[03:16:32 - 03:23:12]:  a reação, geral seja, num tom crítico.
[03:23:12 - 03:33:12]:  A elevada a inflação que se sente, o aumento especulativo por parte dos presos não é
[03:33:12 - 03:43:12]:  problema de um único mês, nem é uma problema deste mês em particular, em que se aproximam
[03:43:12 - 03:53:12]:  as festas. Com este apoio sabemos que 4 em coadas 5 famílias irão impovercer.
[03:53:12 - 04:03:12]:  E mesmo aqueles que receberão terão uma perda de poder de compra que não compensa
[04:03:12 - 04:11:32]:  o enormamento de custos no supermercado nas bombas de gasolina na habitação.
[04:11:32 - 04:18:12]:  É uma medida direcionada para quem mais precisa, aquilo que é lamentável é que
[04:18:12 - 04:26:32]:  nós enxeríamos 3 milhões de pobres de Portugal, 3 milhões de pessoas caranciadas, precisam
[04:26:32 - 04:28:12]:  desse tipo da poio.
[04:28:12 - 04:38:12]:  Governo vim leicar um número de criterios que permitissem acceder este 2040 euros e não
[04:38:12 - 04:46:32]:  as prestações sociais ou as prestações mínimas como leimos no comunicado do governo,
[04:46:32 - 04:56:32]:  porque isso permitirá que os mesmos de sempre continuem a receber apoios do governo e que
[04:56:32 - 05:03:12]:  outros que efetivamente também precisam não recebo.
[05:03:12 - 05:11:32]:  Vão ser os mesmos de sempre a receber, desventura, coleg parece ser recardar aos
[05:11:32 - 05:16:32]:  prérios de nominador comum da reação da oposição.
[05:16:32 - 05:23:12]:  Se desce de ver se innovar sobre quem é recebido.
[05:23:12 - 05:39:52]:  Exatamente, porque o que é o oposição disso foi não é importante, mas não é aliás o
[05:39:52 - 05:46:32]:  senhor da iniciativa liberal, de si é uma medida direcionada para quem mais precisa,
[05:46:32 - 05:56:32]:  mas é uma vergonha que tenhamos tanta gente que precisa assim, ou seja, é significativo
[05:56:32 - 06:08:12]:  do número de pobres que temos e o resto da oposição disso é uma medida que peca por
[06:08:12 - 06:13:12]:  escassa, porque aquelas pessoas de facto precisam.
[06:13:12 - 06:19:52]:  Não é estrutural, é exato, é episódio e depois aparece o chegado de ser tão necessitados
[06:19:52 - 06:21:32]:  mesmo de sempre.
[06:21:32 - 06:24:52]:  E é verdade, que é pós pobres.
[06:24:52 - 06:33:12]:  Eu acho que íamos inovar, às vezes o apoio, aos mais pobres, não vim ir pós mais pobres,
[06:33:12 - 06:41:32]:  vivíamos a inovar e esta semana, será, respiremos nós, por exemplo,
[06:41:32 - 06:53:12]:  ou malta da quinta da marinha, de repente variar, porque é isto que torna a política aborcida,
[06:53:12 - 07:03:12]:  vamos apoiar os mais pobres, como dando-me a erros mais pobres, já vimos, cansa, cansa,
[07:03:12 - 07:06:32]:  a redundância da formulação.
[07:06:32 - 07:13:12]:  Sim, é muito, é daquelas coisas, é tão óbvio, né, que vamos inovar.
[07:13:12 - 07:21:32]:  Como é que entendem termos políticos, esta prenda de Natal do Governo, vamos me galotávares?
[07:21:32 - 07:28:12]:  Então, é o Infeltex do Natal.
[07:28:12 - 07:36:32]:  O Governo está muito preocupado com as emparezas que têm lucros existivos.
[07:36:32 - 07:44:52]:  Onde é que é grande a empareza portuguesa que tem os lucros mais existivos todos?
[07:44:52 - 07:48:12]:  É o próprio estado.
[07:48:12 - 07:56:32]:  Isto é uma maneira de o costa não ser visitado pelo fantástico do Natal passado.
