[00:00:00 - 00:13:44]:  Esta semana João Miguel Tavarres confessa-se manço, pedram-me-sia, cento-se perusador e Ricardo
[00:13:44 - 00:22:16]:  Aospreira, que é quem fica desta vez fora do baralho, cento-se, Bitoei.
[00:22:16 - 00:26:08]:  Está reunido o Governo Sombra.
[00:26:08 - 00:57:48]:  [Música]
[00:57:48 - 01:05:24]:  Para viver vocês um bem-vindos no final da semana em que a parceria estratégica entre
[01:05:24 - 01:14:16]:  Belae e Sombente foi interrompida, daqui a pouco falaremos da decisão do Governo de enviar
[01:14:16 - 01:21:56]:  pro atribunal constitucional a lei dos apoios sociais aprovada pelo Parlamento e pelo
[01:21:56 - 01:23:36]:  lugar da Presidente.
[01:23:36 - 01:34:24]:  A República, antes porém, Ricardo Aospreira quer ser ministro do machismo.
[01:34:24 - 01:44:00]:  O que faz dar uma particular atenção a este tema sempre atual, Ricardo, nesta altura?
[01:44:00 - 01:53:08]:  É sempre atual, mas nesta altura eu resolvi chamar-lo para nossa conversa, porque é
[01:53:08 - 02:05:28]:  uma portativa candidata ao TARCIC que me parece que está a ser, eu não percebo bem a questão,
[02:05:28 - 02:15:44]:  mas eu acho que ela está a ser acusada de racismo, porque as pessoas as quais ela acusam
[02:15:44 - 02:17:24]:  do machismo.
[02:17:24 - 02:20:44]:  Deixa-me explicar o que está em causa.
[02:20:44 - 02:28:48]:  Susa Negarcia, da Lá que está a falar, é uma divulgada que se tornou conhecida na
[02:28:48 - 02:37:08]:  crônica criminal das manhãs da TVI, que foi sondada para se candidatar pelo chega nas
[02:37:08 - 02:42:56]:  próximas autarquicas e que as estruturas locais do PSD querem
[02:42:56 - 02:47:16]:  como candidata à Câmara Municipal da Amadora.
[02:47:16 - 02:56:40]:  Embora, como vamos ver, avaliar por declarações recentes, talvez fizesse mais sentido
[02:56:40 - 03:05:08]:  a divulgada candidatar sem sezimbra o conselho de que faz parte a frexia da quinta do
[03:05:08 - 03:16:16]:  conto, que aparece referida aqui a entrevista ao podcast Malucoblesa, por causa de uma altercação
[03:16:16 - 03:23:32]:  com um indivíduo que terá abordado de forma desrespeitosa no meio da rua.
[03:23:32 - 03:43:48]:  E sabe o que ele fez?
[03:43:48 - 03:52:04]:  Eu vivi na área, era muito santo, mas não era uma zona de fio, era uma zona de fio.
[03:52:04 - 03:55:00]:  E vivi na área também muito santo.
[03:55:00 - 04:02:12]:  E as aulas de boxa que eu tenho na quinta do condo.
[04:02:12 - 04:08:04]:  E, portanto, bem-visto, pensas que vem as da Amadora, a quinta do condo com a Amadora, porque
[04:08:04 - 04:10:24]:  não é um homosseuia como entrada.
[04:10:24 - 04:23:16]:  Tenho esta informação, Ricardo, que é quinta do condo com a Amadora ao pequeno almoço?
[04:23:16 - 04:30:36]:  Não tinha não, Carlos, eu te conheci, eu já vi que são alimentares da quinta do condo.
[04:30:36 - 04:41:16]:  E confesso que não sei se comera a Amadora ao pequeno almoço, é a melhor opção, não sou
[04:41:16 - 04:52:16]:  nutricionista, mas não tenho certeza de que seja uma opção boa.
[04:52:16 - 05:13:52]:  É uma opção para uma potativa candidata.
[05:13:52 - 05:56:44]:  É uma opção boa, que é uma opção boa, que é uma opção boa, que é uma opção boa,
[05:56:44 - 06:01:26]:  porque eu não sei se eu não me enalmo, eu não me enalmo.
[06:01:26 - 06:11:02]:  Eu não nem sou brilheta, não tenho só o que eu sou, é mesmo só uma refeição única.
[06:11:02 - 06:16:12]:  Agora, a relação da candidata é a se tornada.
[06:16:12 - 06:23:48]:  Vamos voltar ao assunto propriamente, "tasquesias de soda negarcia" de que está a ser
[06:23:48 - 06:32:12]:  álvado de machismo, deste foi anunciado, aí posso se tornar candidata do PSC, a camera da
[06:32:12 - 06:40:50]:  amadora, uma hipótese ainda não confirmada, rui rio ainda não decidiu endokinitivo.
[06:40:50 - 06:47:48]:  Parece a injustificada destasquesias de soda negarcia, Ricardo.
[06:47:48 - 06:56:52]:  O Carlos eu confesso que não sei, percebo que isto possa ser desagradável para o nosso
[06:56:52 - 07:05:36]:  programa, mas eu confesso que não sei, eu não sabia bem, não sei se não conhecia soda
[07:05:36 - 07:17:46]:  negarcia, fiquei a saber que era, eu costumava fazer comentários na crônica criminal em
[07:17:46 - 07:26:44]:  programas da manhã, na isso, ou da tarde, e isso é o primeiro sinal de inquietação,
[07:26:44 - 07:37:16]:  porque eu sei que as pessoas dizem "Ah, o Marcelo, um presidento que veio da televisão,
[07:37:16 - 07:47:06]:  não é verdadeiro, não é verdadeiro, o Marcelo foi para a televisão e já depois de ter
[07:47:06 - 07:53:42]:  uma carreira política, era assim que as coisas se processavam antigamente, uma pessoa tinha
[07:53:42 - 08:00:46]:  uma carreira política, na minha parte às vezes, não muito bem sucedida, por exemplo, tanto
[08:00:46 - 08:08:06]:  o Marcelo do Alciso, como Marx-Mentos, foram presidentes do PSD, mas nunca conseguiram
[08:08:06 - 08:16:42]:  ser eletros pro invés de ministros, e portanto, e a seguir tem uma espécie de reforma,
[08:16:42 - 08:27:34]:  bastante agradável, porque na televisão, em princípio, a gente ganha melhor do que na política,
[08:27:34 - 08:33:14]:  caso contrário, alguma coisa estava profundamente errada aqui.
[08:33:14 - 08:44:38]:  E portanto, a sua azim, da política, para a televisão, onde realmente faziam uma reforma agradável,
