[00:00:00 - 00:11:40]:  Esta semana, Ricardo Raús Pereira considera-se retirado.
[00:11:40 - 00:18:20]:  João Miguel Tavares de Clara S. Constitucional
[00:18:20 - 00:28:20]:  e Pedro Mexia desta vez de nova distância, Sense Flette.
[00:28:20 - 00:36:40]:  Está reunido o programa que o Juno, nos estamos legalmente impedidos de dizer.
[00:38:20 - 01:00:00]:  Para a vida vocês vão bem-vindos no final da semana em que finalmente acabaram de ser contados os votos das eleições 30 de janeiro com o apuramento dos resultados de votos.
[01:00:00 - 01:03:20]:  Ainda não é a hora de ser contado.
[01:03:20 - 01:06:40]:  Ainda não é a hora de ser contado.
[01:06:40 - 01:10:00]:  Ainda não é a hora de ser contado.
[01:10:00 - 01:13:20]:  Ainda não é a hora de ser contado.
[01:13:20 - 01:16:40]:  Ainda não é a hora de ser contado.
[01:16:40 - 01:20:00]:  Ainda não é a hora de ser contado.
[01:20:00 - 01:23:20]:  Ainda não é a hora de ser contado.
[01:23:20 - 01:26:40]:  Ainda não é a hora de ser contado.
[01:26:40 - 01:30:00]:  Ainda não é a hora de ser contado.
[01:30:00 - 01:33:20]:  Ainda não é a hora de ser contado.
[01:33:20 - 01:36:40]:  Ainda não é a hora de ser contado.
[01:36:40 - 01:40:00]:  Ainda não é a hora de ser contado.
[01:40:00 - 01:43:20]:  Ainda não é a hora de ser contado.
[01:43:20 - 01:50:00]:  Ainda não é a hora de ser contado.
[01:50:00 - 01:53:20]:  Ainda não é a hora de ser contado.
[01:53:20 - 01:56:40]:  Ainda não é a hora de ser contado.
[01:56:40 - 02:00:00]:  Ainda não é a hora de ser contado.
[02:00:00 - 02:03:20]:  Ainda não é a hora de ser contado.
[02:03:20 - 02:06:40]:  Ainda não é a hora de ser contado.
[02:06:40 - 02:10:00]:  Ainda não é a hora de ser contado.
[02:10:00 - 02:13:20]:  Ainda não é a hora de ser contado.
[02:13:20 - 02:16:40]:  Ainda não é a hora de ser contado.
[02:16:40 - 02:20:00]:  Ainda não é a hora de ser contado.
[02:20:00 - 02:23:20]:  Ainda não é a hora de ser contado.
[02:23:20 - 02:26:40]:  Ainda não é a hora de ser contado.
[02:26:40 - 02:30:00]:  Ainda não é a hora de ser contado.
[02:30:00 - 02:33:20]:  Ainda não é a hora de ser contado.
[02:33:20 - 02:36:40]:  Ainda não é a hora de ser contado.
[02:36:40 - 02:40:00]:  Ainda não é a hora de ser contado.
[02:40:00 - 02:43:20]:  Ainda não é a hora de ser contado.
[02:43:20 - 02:46:40]:  Ainda não é a hora de ser contado.
[02:46:40 - 02:50:00]:  Ainda não é a hora de ser contado.
[02:50:00 - 02:53:20]:  Ainda não é a hora de ser contado.
[02:53:20 - 02:56:40]:  Ainda não é a hora de ser contado.
[02:56:40 - 03:00:00]:  Ainda não é a hora de ser contado.
[03:00:00 - 03:03:20]:  Ainda não é a hora de ser contado.
[03:03:20 - 03:06:40]:  Ainda não é a hora de ser contado.
[03:06:40 - 03:10:00]:  Ainda não é a hora de ser contado.
[03:10:00 - 03:13:20]:  Ainda não é a hora de ser contado.
[03:13:20 - 03:16:40]:  Ainda não é a hora de ser contado.
[03:16:40 - 03:20:00]:  Ainda não é a hora de ser contado.
[03:20:00 - 03:23:20]:  Ainda não é a hora de ser contado.
[03:23:20 - 03:26:40]:  Ainda não é a hora de ser contado.
[03:26:40 - 03:30:00]:  Ainda não é a hora de ser contado.
[03:30:00 - 03:33:20]:  Ainda não é a hora de ser contado.
[03:33:20 - 03:36:40]:  Ainda não é a hora de ser contado.
[03:36:40 - 03:40:00]:  Ainda não é a hora de ser contado.
[03:40:00 - 03:43:20]:  Ainda não é a hora de ser contado.
[03:43:20 - 03:46:40]:  Ainda não é a hora de ser contado.
[03:46:40 - 03:50:00]:  Ainda não é a hora de ser contado.
[03:50:00 - 03:53:20]:  Ainda não é a hora de ser contado.
[03:53:20 - 03:56:40]:  Ainda não é a hora de ser contado.
[03:56:40 - 04:00:00]:  Ainda não é a hora de ser contado.
