[00:00:00 - 00:26:40]:  [Música]
[00:26:40 - 00:36:40]:  Para a viva, vocês são bem-vindos no final de uma semana de guerra na Europa.
[00:36:40 - 00:46:40]:  Com o Elenco habitual, Ricardo Raus Pereira, Pedro Messia e João Miguel Taváres,
[00:46:40 - 00:58:20]:  para avaliarmos esta semana em que as tropas de Putin não consiram suprosugar a resistência do crânian,
[00:58:20 - 01:08:20]:  mas em que estão a provocar um dos maiores dramas humanitários das últimas décadas na Europa,
[01:08:20 - 01:18:20]:  já com mais de um milhão de deslocados, para além dos mortes e dos feridos e um rasto de destruição
[01:18:20 - 01:35:00]:  que cresce a cada dia que passa, em vazão da Ucrania e inivitavialmente com as suas múltiplas de climações
[01:35:00 - 01:45:00]:  da agenda desta emissão, com o Ricardo Raus Pereira, vamos manter os ministérios,
[01:45:00 - 01:56:40]:  daqui a pouco já falaremos da situação no terreno, mas para já o Ricardo Raus Pereira escolha pasta de ministro da miopia.
[01:56:40 - 02:05:00]:  Quem é que na sua opinião, Ricardo, não está a ver bem a coisa?
[02:05:00 - 02:18:20]:  Acho que, oh, Carlos, antes mais nada, e que a gente não seria a primeira vez que eu estava enganado, em relação,
[02:18:20 - 02:31:40]:  eu não sei, não tenho, não reclamo ser um grande analista político, mas parece que os partidos acham que era do PS,
[02:31:40 - 02:38:20]:  especialmente o PCP, não estão a ver bem a questão.
[02:38:20 - 02:51:40]:  Somos sem desvereve, o PCP não acompanhou as ministações em que milhares de pessoas em várias estilidades portocasas
[02:51:40 - 03:03:20]:  condomaram a invasão russa da Ucrania, votou contra uma resolução aprovada pelo Parlamento Europeu,
[03:03:20 - 03:13:20]:  que é mais sentido de condinação, considera que a culpa da situação atual dos Estados Unidos,
[03:13:20 - 03:28:20]:  a responsabilidade também é napo-o e a União Europeia, por aquilo, a que chama a intensificação das caladas de a vela e cista,
[03:28:20 - 03:38:20]:  sem que seja usada nesse comunicado de terça-feira do PCP em momento em uma palavra invasão,
[03:38:20 - 03:45:00]:  e muito menos qualquer tipo de condinação, de esta ação militar russa.
[03:45:00 - 03:55:00]:  Surpreenda em não estas posições políticas do PCP, ou nem por isso, regaro.
[03:55:00 - 04:01:40]:  Se calhar vou passar por ingiano, mas eu acho que sim, eu diria que sim.
[04:01:40 - 04:13:20]:  Obrigado, agradeço, mas eu só confere, por isso eu tenho que fazer um bom corpo, eu tenho que fazer um bom corpo.
[04:13:20 - 04:15:00]:  Prevenir, efectos.
[04:15:00 - 04:20:00]:  Mas sim, não estava a esperar que...
[04:20:00 - 04:26:40]:  Quero dizer, eu não entendo, sinceramente não entendo.
[04:26:40 - 04:45:00]:  Eu percebo que não percebo o que se pretende, não sei sus trabalhadores e o povo compreendem esta posição.
[04:45:00 - 04:51:40]:  Acho que nos pedem para a gente estar a ver, estar a...
[04:51:40 - 04:56:40]:  Não estar a ver o que está a ver.
[04:56:40 - 05:06:40]:  A ideia da palavra invasão não estar presente, parece-me...
[05:06:40 - 05:15:00]:  No caso como estes, parece...
[05:15:00 - 05:23:20]:  Absurda, não sei se a palavra curagem que tem sido usada para definir a posição do PCP,
[05:23:20 - 05:33:20]:  sus trabalhadores, a adotariam, tenho mais maiores dúvidas,
[05:33:20 - 05:41:40]:  e depois tenho muita dificuldade de entender que, por exemplo,
[05:41:40 - 05:51:40]:  que a análise que há a fazer disto é que o maior financiador da estrema direita na Europa
[05:51:40 - 05:58:20]:  vai desnazificar um governo presidido por um joelho.
[05:58:20 - 06:01:40]:  Isso é um primeiro ponto, não é?
[06:01:40 - 06:05:00]:  Tania alguma dificuldade em que eu aprende ele.
[06:05:00 - 06:20:00]:  O segundo é que estamos pranto uma iniciativa para manter a paz que atinge aoversivis.
[06:20:00 - 06:38:20]:  Há uma série de bisarrias nesta conversa que me parece que não quer que seja fácil compreendendo.
[06:38:20 - 06:43:20]:  As suas possíveis de vários dirigentes em...
[06:43:20 - 06:45:00]:  Não, aliás...
[06:45:00 - 06:55:00]:  E pelas entrevistas têm clarificado essas bisarrias para usar a palavra.
[06:55:00 - 07:00:00]:  É curioso que as explicações possíveis.
[07:00:00 - 07:08:20]:  Por exemplo, no Parlamento, o João Oliveira estava tão fortemente agarrado a aquele papel
[07:08:20 - 07:16:40]:  que reproduzia a palavra por palavra já o texto do comunicado,
[07:16:40 - 07:23:20]:  que me parece de facto que aquela construção é tão frágil,
[07:23:20 - 07:28:20]:  aquela construção, aquela argumentária, é tão frágil.
[07:28:20 - 07:33:20]:  Precisam daquelas palavras, precisam da mesma que a palavra.
[07:33:20 - 07:38:20]:  Aquelas palavras por aquela ordem e nem mais uma.
[07:38:20 - 07:43:20]:  E, portanto, há uma coisa que não satisfaz, não me he visto.
[07:43:20 - 07:53:20]:  Que é de repente ter visto algumas pessoas que não costumam ter esta opinião a dizer...
[07:53:20 - 07:56:40]:  E eu neste ponto concorda, atenção.
[07:56:40 - 08:03:20]:  A dizer que é importante proteger o dicenso.
[08:03:20 - 08:10:00]:  E é, sim, eu acho que a posição do PCP é absurda.
[08:10:00 - 08:18:20]:  Mas, acho que as opiniões impupulares devem ser protegidas.
[08:18:20 - 08:25:00]:  O opiniões impupulares a este ponto devem ser protegidas.
[08:25:00 - 08:35:00]:  Aquela ideia de que o PCP não deve ter o direto a dizer isto...
[08:35:00 - 08:40:00]:  Não concorda.
[08:40:00 - 08:41:40]:  E é para aliás.
[08:41:40 - 08:50:00]:  E é precisamente porque saber que um dia ia me chegar aqui, porque é fatal.
[08:50:00 - 08:56:40]:  É por isso que eu tenho defendido que outros quadrantes ideológicos
[08:56:40 - 09:00:00]:  devem poder dizer o que eles apetem.
[09:00:00 - 09:08:20]:  Porque sabia, porque é inevitável que um dia ia me chegar aqui.
[09:08:20 - 09:16:40]:  Ou seja, ao ponto em que algumas outras pessoas também têm opiniões impupulares
[09:16:40 - 09:25:00]:  e essas opiniões impupulares não devem ser prohibidas.
[09:25:00 - 09:36:40]:  Tem a vida de dirigentes comunistas a queixaram-se de uma campanha de ódio contra o PCP, de piixagens...
[09:36:40 - 09:41:40]:  Mas essas piixagens existem.
[09:41:40 - 09:46:40]:  E são condonáveis.
[09:46:40 - 09:51:40]:  E são condonáveis ninguém mais uma vez.
[09:51:40 - 09:53:20]:  Mais uma vez.
[09:53:20 - 10:05:00]:  As palavras do PCP, eu acho que não se deve reagir com, por exemplo, atos violentos,
[10:05:00 - 10:08:20]:  como é o caso de piixagens.
[10:08:20 - 10:13:20]:  "Piixagens" também não entrem na categoria de atos violentos.
[10:13:20 - 10:15:00]:  Pinta umas parede.
[10:15:00 - 10:18:20]:  Já uma vez de piixaram na parede.
[10:18:20 - 10:21:40]:  Me nunca me piixaram nada.
[10:21:40 - 10:26:40]:  Olha que requeram o trabalho violento e lá pintaram possibles.
[10:26:40 - 10:30:00]:  Mas paguem já de piixaram.
[10:30:00 - 10:31:40]:  E isso é que já piixaram.
[10:31:40 - 10:36:40]:  Mas também é muito diferente de piixagem uma casa privada.
[10:36:40 - 10:40:00]:  Do que andar a piixagem a ser de um partido.
[10:40:00 - 10:41:40]:  Mas saímos a dar um camarada.
[10:41:40 - 10:45:00]:  É ver o que vai ser completamente diferente.
[10:45:00 - 10:48:20]:  Há um camarada que vai ter que poder no rolo e ir lá pintar.
[10:48:20 - 10:50:00]:  A cima daqueles.
[10:50:00 - 10:58:20]:  João Ferreira, que é apontado como possível futuro de cartar e o geral comunista,
[10:58:20 - 11:06:40]:  que classificou a votação do PCP no Parlamento do Europeu como "curajosa".
[11:06:40 - 11:11:40]:  Foi uma palavra usada por ele.
[11:11:40 - 11:18:20]:  Estatos mudervel para aceitar esta desjetiva escolhida
[11:18:20 - 11:23:20]:  todo o dirigente comunista João Miguel Tavárez.
[11:23:20 - 11:25:00]:  Estou?
[11:25:00 - 11:26:40]:  Vamos ver.
[11:26:40 - 11:36:40]:  A posição do PCP é sendo dúvida de "curajosa" porque é um partido político que assume
[11:36:40 - 11:43:20]:  é absoluta em popularidade da sua posição.
[11:43:20 - 11:46:40]:  E incluem muitos votantes do PCP.
[11:46:40 - 11:53:20]:  Alguns sentados esta mesa que estão acabunhados,
[11:53:20 - 12:03:20]:  porque ter gente que vai ter em 2022 que o PCP é mais a menos igual a que a 1922.
[12:03:20 - 12:08:20]:  Não precisa cobrir a nossa trata de cobrir em 2022.
[12:08:20 - 12:13:20]:  É isso, porque isso não precisa cobrir a sua empresa.
[12:13:20 - 12:15:00]:  Não é.
[12:15:00 - 12:18:20]:  Se seramente pensava que neste caso concreto...
[12:18:20 - 12:20:00]:  No caso concreto.
[12:20:00 - 12:25:00]:  Tô no ano das aléus editorias do Afanço, que só fica mal.
[12:25:00 - 12:33:20]:  Por acarros dos editorias do Afanço são de uma coerência sempre muito grande
[12:33:20 - 12:40:00]:  e o que nós podemos dizer conspanto.
[12:40:00 - 12:48:20]:  Não ler os editorias do Afanço, tem uma das razões que ainda movavam o detalhe no PCP.
[12:48:20 - 12:50:00]:  O que que dita?
[12:50:00 - 12:51:40]:  É que dita.
[12:51:40 - 12:53:20]:  A senale é este...
[12:53:20 - 12:55:00]:  É este temporal.
