[00:00:00 - 00:25:50]:  [Música]
[00:25:50 - 00:27:58]:  -Faradiva, castamos!
[00:27:58 - 00:31:58]:  É que quatro lados, como tende-se,
[00:31:58 - 00:34:44]:  como é que vai essa sou de física e mental?
[00:34:44 - 00:39:36]:  Ricardo Rousseperera resistia?
[00:39:36 - 00:43:36]:  -Tô, adorado, é uma maravilha.
[00:43:36 - 00:47:08]:  Tô tão fartinho disso, pá.
[00:47:08 - 00:51:12]:  -Tô... -Tô... Não poder seguir?
[00:51:12 - 00:54:32]:  -Esse... Não, não. É questão não é.
[00:54:32 - 00:57:52]:  Não poder seguir, porque eu não importo estar em casa.
[00:57:52 - 01:01:32]:  É a ideia de que se eu quiser, eu não posso.
[01:01:32 - 01:06:00]:  Isso é que não dá cabo dos juízes.
[01:06:00 - 01:11:42]:  E eu tenho muita... Foi aquilo que eu disse no domingo passado.
[01:11:42 - 01:16:16]:  Eu fico com soldados de...
[01:16:16 - 01:21:00]:  de... até das coisas chatas.
[01:21:00 - 01:22:52]:  De...
[01:22:52 - 01:26:24]:  Poder ir a cítios...
[01:26:24 - 01:30:48]:  Nem que seja só pra... pra tratar de papéis.
[01:30:48 - 01:32:40]:  -Ah, que soldados, e...
[01:32:40 - 01:40:20]:  -Onde é que o João e a Altavaziria agora se pudesse dizer de casa?
[01:40:20 - 01:43:56]:  -E pô, agres...
[01:43:56 - 01:47:56]:  Acho que tu me enxia um safora, tá?
[01:47:56 - 01:53:44]:  A ver, isso... a quantidade de louça que já é de lavagem...
[01:53:44 - 01:57:20]:  entre lavagem e colocar na máquina, sim.
[01:57:20 - 02:03:36]:  A acumulação de tarefas de mésticas é realmente um bocadinho...
[02:03:36 - 02:08:16]:  que acertiva ainda que... como eu ainda estou fazendo essas coisas.
[02:08:16 - 02:11:56]:  Estou ainda naquela registro, mei mais x, tem que...
[02:11:56 - 02:15:44]:  a minha... tá a trabalhar-me com as pessoas.
[02:15:44 - 02:17:24]:  Não é... não é... não é... não é...
[02:17:24 - 02:24:08]:  O que eu estava fazendo aqui, mas... é mesmo só... o que eu também estou fazendo...
[02:24:08 - 02:28:04]:  muito mais ou outras coisas... procisionais...
[02:28:04 - 02:31:24]:  favor feministas, não se errei tão entre mim.
[02:31:24 - 02:35:44]:  Agora, mesmo assim, se sobra em mim essa coisa...
[02:35:44 - 02:39:04]:  porque a casa suja-se muito mais...
[02:39:04 - 02:42:24]:  -Pô, que é...
[02:42:24 - 02:47:24]:  -É que ela não tem que contar com o coronavírus?
[02:47:24 - 02:49:04]:  -Qui?
[02:49:04 - 02:50:44]:  -A Teresa?
[02:50:44 - 02:54:04]:  -A tua mulher?
[02:54:04 - 02:58:52]:  -Não, a minha mulher... porque enquanto acho que ainda não...
[02:58:52 - 03:02:24]:  contato... mas eu até samba... já estou com o que eu ainda dizer...
[03:02:24 - 03:04:04]:  que eu já lhe digo...
[03:04:04 - 03:09:04]:  é possível ter que dizer uma ampola para nos...
[03:09:04 - 03:12:24]:  -Pai nós ficamos só já terminando.
[03:12:24 - 03:14:04]:  -Dócular, quer dizer idócolar.
[03:14:04 - 03:20:44]:  -Espaixávamos isto e a partir daí já... já estavam...
[03:20:44 - 03:22:24]:  os todos despaixados.
[03:22:24 - 03:25:44]:  Eu já me dei esta magnífica ideia, mas não sei porquê...
[03:25:44 - 03:27:24]:  ela não tá aqui de comprar.
[03:27:24 - 03:32:24]:  -Eu vou esquecer aí uma mensagem...
[03:32:24 - 03:37:24]:  do otimismo por traxas...
[03:37:24 - 03:40:44]:  -Aquei can be...
[03:40:44 - 03:42:24]:  -Sim...
[03:42:24 - 03:47:24]:  Estou um quadro de hoje, de Rita, que nós cairmos em casa...
[03:47:24 - 03:52:24]:  já compramos uns anítimos, mas que agora esta mensagem...
[03:52:24 - 03:55:44]:  -Pois se...
[03:55:44 - 03:57:24]:  realmente bem...
[03:57:24 - 03:59:04]:  a hoje...
[03:59:04 - 04:02:24]:  nós estamos a viver.
[04:02:24 - 04:07:24]:  E achei que foi um doente do quadro e é...
[04:07:24 - 04:10:44]:  é retobado mentem... onde os meus fides têm...
[04:10:44 - 04:12:24]:  se a entretencido a...
[04:12:24 - 04:17:24]:  a jogar um pouco para manter a forma física...
[04:17:24 - 04:19:04]:  impecável.
[04:19:04 - 04:20:44]:  -Pede-me, Chia...
[04:20:44 - 04:22:24]:  tem...
[04:22:24 - 04:27:24]:  são saudades alguma coisa... em particular...
[04:27:24 - 04:29:04]:  ou em casa...
[04:29:04 - 04:32:24]:  tem estudo que é preciso.
[04:32:24 - 04:35:44]:  -Tem tudo que eu fiz...
[04:35:44 - 04:37:24]:  e é o recorimento...
[04:37:24 - 04:42:24]:  levou o cancelamento de uma assembleia de condomínio...
