[00:00:00 - 00:30:48]:  [Música]
[00:30:48 - 00:32:28]:  Nós estamos então.
[00:32:28 - 00:43:48]:  Sejam bem-vindos depois de mais uma semana trágica na Ocrania e de um drama humanitário
[00:43:48 - 00:47:58]:  que está espalhar-se por toda Europa.
[00:47:58 - 00:58:58]:  Já fosiram a guerra mais de dois milhões de pessoas e o número continuou a aumentar.
[00:58:58 - 01:03:46]:  Portugal também já está a receber refugiados.
[01:03:46 - 01:14:08]:  E enquanto isso, as tropas russas continuam a bomber de área, a destruir ciidades ocranianas,
[01:14:08 - 01:23:38]:  embora sem grandes avanços militar no terreno, agora falaremos disso daqui a pouco.
[01:23:38 - 01:36:58]:  Mas para já começamos pelo impacto que a guerra já está a ter no nosso dia a dia com as primeiras consequências do Ordemeniconomica,
[01:36:58 - 01:49:38]:  e é por isso que o Ricardo Raúr Espreira toma, posse, por esta semana, como ministro da economia.
[01:49:38 - 01:54:18]:  Adestou alto móvel nesses últimos dias?
[01:54:18 - 01:57:38]:  Ricardo Raúr Espreira?
[01:57:38 - 02:06:58]:  Não, agora, ó Carlos, antes disso, queria dar uma palavra de solidariedade para com a Patricia que teve a estudar,
[02:06:58 - 02:11:58]:  cometada, para ser uma jornalista prestigiada e credível.
[02:11:58 - 02:21:58]:  E dá por si a ter de apresentar um programa chamado Programa Cojo Nomes, temos legalmente a interdisiada.
[02:21:58 - 02:23:38]:  Está feita a nós.
[02:23:38 - 02:27:18]:  Sim, é isso, a nossa solidariedade para ela.
[02:27:18 - 02:30:58]:  Não, eu não distoio o carro para a casa de...
[02:30:58 - 02:33:38]:  E já fui comprar audio-alimentar?
[02:33:38 - 02:35:18]:  Não, não distoio o carro.
[02:35:18 - 02:36:58]:  Audio-alimentar?
[02:36:58 - 02:38:38]:  Minto.
[02:38:38 - 02:41:38]:  Não distoio o carro, mas já da inicio ao processo.
[02:41:38 - 02:51:18]:  E depois do contrato de promessa de compreender com a bomba, já deu o sinal, to a espera com o banco desbloquei o empreste,
[02:51:18 - 02:56:38]:  e uma vez se eu consigo, acho que vai dar para meio de pósito.
[02:56:38 - 02:58:18]:  Os combustíveis...
[02:58:18 - 03:05:18]:  Se vocês forem meus avalistas como prometeram, se não forem não, não sei se consigo.
[03:05:18 - 03:15:18]:  Os combustíveis tiveram esta semana ou maior, aumento de uma só vez e para a semana já está prumentido o outro,
[03:15:18 - 03:21:38]:  também de grande impacto.
[03:21:38 - 03:30:38]:  Que feito, não opinião pública, Ricardo Raúr Espreira, ele parece que poderá ter o facto
[03:30:38 - 03:37:58]:  de estar a chegar aos bolsos dos portugueses.
[03:37:58 - 03:49:38]:  A primeira vista parece uma coisa mexicana, porque a gente sabe o que está a passar naquele cítio do mundo.
[03:49:38 - 04:01:58]:  O nosso drama neste momento é este gasolina ter aumentos inéditos.
[04:01:58 - 04:10:58]:  Sabe que a gasolina tem muito talento para aumentar portudipornada.
[04:10:58 - 04:12:58]:  A proposito de ficar...
[04:12:58 - 04:21:58]:  Se o estudo casso, não é só gasolina, é breve.
[04:21:58 - 04:28:58]:  Desparar a expressos de todos os bães e paciados.
[04:28:58 - 04:30:38]:  A primeira ansiedade.
[04:30:38 - 04:40:38]:  Estava a dizer se cacentou mesmo que eu, não é que é o mesmo tempo, a gente sente que é preciso dar a gente que tem problemas de um bocadinho de maior.
[04:40:38 - 04:44:38]:  O problema é de um bocadinho de maior do que a sua, mas a atenção que é.
[04:44:38 - 04:48:58]:  O problema não é de sumê-nos, não é?
[04:48:58 - 05:02:38]:  Este é o problema do homem da gasolina, do homem de bães de primeira ansiedade.
[05:02:38 - 05:05:58]:  E daqui a pouco, de hipótese, por hipótese, de racionar.
[05:05:58 - 05:10:58]:  Perjou apresenta a República, põe de parte a ser hipótese.
[05:10:58 - 05:17:38]:  Estamos a ver porquanto tempo é que essa garantia será avalada.
[05:17:38 - 05:25:58]:  Estamos a prioritófosa que, presidentes de República, de várias estirpes nos dêem garantias.
[05:25:58 - 05:35:58]:  Ou seja, sobre bâncos, sobre racionamentos de bães alimentares, que mais estar de vêm reveladas.
[05:35:58 - 05:42:38]:  -Sobre invasões, mas está de se feio. -Sou uma comparação.
[05:42:38 - 05:47:38]:  E isso é bastante injurio.
[05:47:38 - 05:54:18]:  Mas estar de vêm revelar se escolher a precipitadas.
[05:54:18 - 05:55:58]:  -Premso, é uma coisa.
[05:55:58 - 06:09:18]:  -Como souple prestes combustíveis que aumentou a cima do que estava previsto e é um aspecto, talvez relevante.
[06:09:18 - 06:17:38]:  Almentou a cima do que estava previsto, embora as gasolinairas não expliquem exatamente por quê?
[06:17:38 - 06:29:18]:  Será de ter medo que o aumento da inflação venha a gerar ainda mais inflação?
[06:29:18 - 06:40:58]:  A ver, do que aproveite a onda para alargar os margens de lucro?
[06:40:58 - 06:44:18]:  Eu juro que não, Carlos.
[06:44:18 - 07:02:38]:  Seria a primeira vez na história que alguém aproveitaria uma situação de grande vulnerabilidade e tragédia para gerar lucros para a presa.
[07:02:38 - 07:14:18]:  -Nosso haver isso que até estão a ser de uma exigida exemplar para o Cranianza,
[07:14:18 - 07:22:38]:  -Precato de lentícias, a dizer que o Teis já estava com o dobro do preço.
[07:22:38 - 07:25:58]:  -Co dobro do preço?
[07:25:58 - 07:29:18]:  -O governo isso é por isso que eu...
[07:29:18 - 07:35:58]:  -Ele tem para iletor de iniciativa liberal.
[07:35:58 - 07:42:38]:  É por isso que se calhar com vêm que as reglas no mercado.
[07:42:38 - 07:44:18]:  -Cois essas?
[07:44:18 - 07:52:38]:  -Não estava a espera deste encergo que tais autogas não se tu de encorte contigo.
[07:52:38 - 07:59:18]:  -O governo anunciou, entretanto, medidas para compensar o aumento dos preços de energia,
[07:59:18 - 08:05:58]:  -no meio da mente de plas evolução, do acréssimo, da receita do IVE,
[08:05:58 - 08:17:38]:  -apesar disso as perspectivas econômicas estão longe de ser animadoras, como se já se percebeu.
[08:17:38 - 08:25:58]:  -Comparativamente com a crise da pandemia, parece que temos que laferem-te um desafio da mesma dimensão,
[08:25:58 - 08:29:18]:  -O poderá ser ainda pior, João Miguel Dabar.
[08:29:18 - 08:37:38]:  -Eu acho que esta sequência inicial do governo de sombra está a sentir muita falta do gêgum dos ferregas,
[08:37:38 - 08:42:38]:  -não sei se sêlendando a por aí nos corredores da história da noite,
[08:42:38 - 08:49:18]:  -ta vez eu pudessemos vir buscar para conversar aqui com nós, porque na verdade,
[08:49:18 - 08:55:58]:  -não as alde não serem especialistas em quase nada, não somos todos especialistas em economia
[08:55:58 - 09:04:18]:  -e sobretudo somos que o totalmente em que a paz desanomia o que ive.
[09:04:18 - 09:07:38]:  -Somos em sessões públicas, somos.
[09:07:38 - 09:09:18]:  -Somos de sessões públicas.
[09:09:18 - 09:34:18]:  -Ele acho que nos outros tempos, as pessoas andaram 6 de certeza, as comissões e a que a bornau crânia
[09:34:18 - 09:40:58]:  -e portanto os comentadores têm dado bastante a hora.
[09:40:58 - 09:44:18]:  -Marcel, o reel suza disso não vai haver problemininho,
[09:44:18 - 09:54:18]:  -mario sempre tem de disco a cuidar em sequisto, a pesar dos números do crescimento,
[09:54:18 - 10:00:58]:  -mario sempre tem de ser de rapar, eu tendo a acreditar em mais um sentente.
[10:00:58 - 10:07:38]:  -Em verdade que economia portuguesa, por um lado, pode dizer que o turismo, os números do turismo,
[10:07:38 - 10:14:18]:  -eu acho que se quer avonar, a gente que está a falta da pandemia, a pandemia foi,
[10:14:18 - 10:24:18]:  -se portanto quer regressar, acho que os números em Portugal, os indicadores para o verão.
[10:24:18 - 10:29:18]:  -Somos de treino, se não me assam só a entrada de estrangeiros entre retória e português,
[10:29:18 - 10:35:58]:  -porque isso será uma medição bastante falsa eada.
[10:35:58 - 10:39:18]:  -E a que a paz mas o drama é um meditário?
[10:39:18 - 10:47:38]:  -Sim, mas acho que fora desse drama humanitário, as coisas por esse lado até podem correr bem,
[10:47:38 - 10:55:58]:  -pues evidente que os pares de energia contamina um tudo, e portanto também vão chegar Portugal,
[10:55:58 - 11:02:38]:  -e a outros países, na questão da alimentação, que é realmente grave,
[11:02:38 - 11:07:38]:  -não me adamente no norte da África, que é que quando eu leico o Egito,
[11:07:38 - 11:10:58]:  -As importações chegavam a que...
[11:10:58 - 11:20:58]:  -Crania é um dos celebra dos mundos, dos celebra dos suptudo atépto para a ídia de as afetanas,
[11:20:58 - 11:27:38]:  -Os cereais, de contato, de totalmente os cereais, estamos falando de importação de um 80%,
